ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
701777460799516672,Happy happy bday to the homie @NoahMontano  have a stellar day my dude. pic.twitter.com/PWsu2tf7Zm,1456151759,taraxkellie,15,0,1,0,reply
701777073082384384,The first photo of Saint Westpic.twitter.com/sYcoYoJlVB,1456151667,STR_WRD,2,0,8,0,reply
701766296007008256,Got some belated Valentines from our colleagues at STR Analytics @stephenhennis @ahoyt_STR @JRael_STR pic.twitter.com/klvjvJudnr,1456149097,HNN_Steph,4,1,1,0,reply
701760368423600129,At this rate Afterschool will have a comeback before Stellar releases Sting on iTunes pic.twitter.com/9WkC1b7xi6,1456147684,wujunator,9,3,4,0,reply
701754684004937733,'Need You' by @ftampa @sexroomsexroom is OUT NOW! DL http://hwl.dj/NEEDYOU-BP  STR http://hwl.dj/REVR-BPS https://amp.twimg.com/v/24b9218e-5663-499e-a31d-90c1279c5182 …,1456146329,RevealedRec,170,5,91,0,reply
701751619931738112,Overwhelming response to #TheMaids first preview. @JamieLloydCo's stellar cast blew everyone away. Don't miss out: http://bit.ly/1QmsaSS ,1456145598,ATGTICKETS,7,0,2,0,reply
701750708098301953,#simbu today police station over Beep song @iam_str pic.twitter.com/ufvCxFLkH9,1456145381,AbdulRathi,11,1,12,0,reply
701749432677593088,A #fintech #VC on the best #startups at a less-than-stellar Finovate #London https://lnkd.in/eqMC2Hw ,1456145077,i_Invested,3,0,2,0,reply
701748881659310080,@roboshankar_ofl @iam_str He is Vere Level Robo No One Can Judge Him . Gethu Moment By @iam_str and @iam_str Fans  Podu Mama ,1456144945,iam_AbdulRayees,9,0,9,701732763997642752,reply
701747983533133824,Check out an exclusive clip of #HillaryClinton at the Stellar Awards right now on @tvonetv #NewsOneNow,1456144731,rolandsmartin,13,1,11,0,reply
701746079302221824,"What is your take on the #BeepSong controversy? 
#STR",1456144277,behindwoods,44,5,25,0,reply
701745641345589248,"True today #Simbu  showed mass at Coimbatore 
#Remo
@Deepi_Twits @ThalaAravint @ThalaAjith_FC @STR_360pic.twitter.com/t5PYrJSvmj",1456144173,BeinghumanWar,32,0,22,0,reply
701743027849658369,Classic sitcom Are You Being Served? to return with a serious stellar cast! http://bit.ly/1RhViI0 ,1456143550,whatsontvuk,5,1,3,0,reply
701739485919371268,STR'S split inlet developed since last year pic.twitter.com/FjGeKVtNFB,1456142705,ScarbsTech,24,5,20,0,reply
701738241305739264,"What ever the situation it may be This Man's Fan Loyalty stays stronger & forever.. 
Crowd today for #STR @iam_str pic.twitter.com/KcK8A1jfSh",1456142409,KollywoodTalks,382,7,168,0,reply
701737052040105984,#idhunammaaalu US rights sold to Houston based  #PinnacleStudios . @iam_str 's highest US rate. Release March 25.,1456142125,sri50,310,11,173,0,reply
701730997700792320,"@helenzille @PedalPowerPPA shook traffic officers hand today, he was writing out fines for cars parked in Bree str cycle lane!",1456140682,CTCycleLanes,8,2,5,0,reply
701730841550925825,"Injured #Simbu appears before Coimbatore Police 

Read here http://www.onlykollywood.com/injured-simbu-appears-before-coimbatore-police/ … #STR #BeepSongpic.twitter.com/trTmwpQBGC",1456140644,OnlyKollywood,25,0,6,0,reply
701726614300794880,Delighted to work with these stellar scholars |Collective Discussion http://ips.oxfordjournals.org/content/early/2016/02/18/ips.olv002 … @kingsatwestern @KingsPrincipal @The__E_G_G,1456139636,Biometricstate,3,1,2,0,reply
701724955113824258,"Seventy-six percent of B2C marketers report using content marketing, yet only 37% say their str.. http://goo.gl/yROFqQ  #socialmedia",1456139241,hichamchraibi,2,0,8,0,reply
701724664712794112,@greg_vaughan @AVAETC @OWNTV @QueenSugarOWN Novel based series + a stellar cast = winning combo! Can't wait! #queensugar #changeisgood,1456139172,niklovr,8,0,3,701721470074945537,reply
701715509092360192,".@iam_str clarifies his stand on Beep song!

http://www.iflickz.com/2016/02/str-clarifies-his-stand-on-beep-song.html …pic.twitter.com/hC0hS2L0PG",1456136989,IndiaFlickz,6,0,6,0,reply
701707766436667393,".@RUGBY_STR_COACH said it many times..1 cog in the machine, and NOT the most important @Fighterstrength #AthletePreppic.twitter.com/pD96q5ntr7",1456135143,christombs71,22,2,12,701516360548020224,reply
701701604706164737,"That's @iam_str For U all 
#RespectSTRpic.twitter.com/Z2KgJSOo0D",1456133674,iam_K_A,51,0,41,701697586663559168,reply
701699713087709184,How to Create a Stellar Customer Experience (and Increase Conversions) by @mktgsamurai http://b2c.news/6DJLDZ  #CustomerExperience #CX,1456133223,jose_garde,9,0,11,0,reply
701698967952760832,. @iam_str's mass fan following explained in this video !! pic.twitter.com/I3YofghW3n,1456133045,TamilaninCinema,104,2,89,0,reply
