Date,"bitcoin","litecoin","ethereum","dashpay","dogecoin","stellar","ripple","monero"
2016-09-19,9584,177,1482,111,375,26,366,518
2016-09-20,9873,206,1633,120,370,15,351,523
2016-09-21,9285,219,1743,124,377,20,405,419
2016-09-22,9903,218,1515,114,328,21,326,357
2016-09-23,8100,170,1502,113,351,25,376,373
2016-09-24,8840,189,1314,92,327,15,274,340
2016-09-25,7642,190,1544,116,333,19,340,304
2016-09-26,9531,225,1690,138,340,14,498,380
2016-09-27,8507,212,1728,143,382,24,384,338
2016-09-28,8127,200,1637,138,354,49,458,334
2016-09-29,8014,233,1554,140,371,31,443,324
2016-09-30,8491,184,1314,125,351,31,344,278
2016-10-01,7590,164,960,98,259,11,172,236
2016-10-02,7652,222,1153,116,293,16,230,238
2016-10-03,8347,229,1397,118,352,33,359,330
2016-10-04,9345,236,1741,115,359,28,381,322
2016-10-05,9086,197,1647,156,355,30,359,313
2016-10-06,8649,175,1554,132,326,24,346,260
2016-10-07,8874,161,1403,104,301,14,287,231
2016-10-08,7025,169,903,76,265,12,181,263
2016-10-09,7078,206,1089,92,302,27,219,324
2016-10-10,7981,209,1259,122,342,16,399,290
2016-10-11,9581,214,1510,109,352,20,317,267
2016-10-12,10134,248,1671,209,542,88,694,437
2016-10-13,8788,214,1618,120,335,23,341,321
2016-10-14,8502,172,1508,96,284,22,268,270
2016-10-15,6829,178,1152,76,290,10,166,212
2016-10-16,7378,181,1223,106,300,12,199,227
2016-10-17,9038,233,1518,121,313,14,285,297
2016-10-18,9037,267,1699,111,344,19,319,257
2016-10-19,8766,194,1421,115,324,27,326,242
2016-10-20,7861,175,1329,88,318,14,369,221
2016-10-21,9966,185,1322,109,348,19,308,206
2016-10-22,6727,184,900,94,245,12,179,183
2016-10-23,8054,174,951,90,266,20,255,188
2016-10-24,8868,171,1415,107,322,20,362,246
2016-10-25,9923,209,1553,106,352,22,365,254
2016-10-26,8501,192,1439,99,327,16,306,224
2016-10-27,8667,217,1343,129,313,27,301,242
2016-10-28,14518,187,1198,85,320,10,239,224
2016-10-29,10900,184,951,93,317,11,214,176
2016-10-30,8571,363,963,110,309,12,216,212
2016-10-31,12082,232,1276,120,353,13,277,280
2016-11-01,10272,238,1378,125,334,18,297,258
2016-11-02,10374,256,1390,123,310,28,378,304
2016-11-03,9857,213,1519,118,380,23,335,244
2016-11-04,9168,213,1435,117,316,24,278,244
2016-11-05,12204,175,1179,90,282,18,189,201
2016-11-06,10908,198,1228,101,296,17,285,209
2016-11-07,11614,215,1659,132,355,32,418,267
