Date,Trend
2015-11-25,78
2015-11-26,63
2015-11-27,79
2015-11-28,74
2015-11-29,80
2015-11-30,87
2015-12-01,90
2015-12-02,92
2015-12-03,85
2015-12-04,94
2015-12-05,82
2015-12-06,79
2015-12-07,91
2015-12-08,82
2015-12-09,96
2015-12-10,88
2015-12-11,88
2015-12-12,85
2015-12-13,76
2015-12-14,86
2015-12-15,100
2015-12-16,95
2015-12-17,82
2015-12-18,95
2015-12-19,84
2015-12-20,79
2015-12-21,87
2015-12-22,77
2015-12-23,93
2015-12-24,71
2015-12-25,70
2015-12-26,82
2015-12-27,76
2015-12-28,85
2015-12-29,80
2015-12-30,85
2015-12-31,89
2016-01-01,74
2016-01-02,84
2016-01-03,78
2016-01-04,81
2016-01-05,75
2016-01-06,70
2016-01-07,65
2016-01-08,75
2016-01-09,60
2016-01-10,64
2016-01-11,69
2016-01-12,74
2016-01-13,76
2016-01-14,82
2016-01-15,67
2016-01-16,63
2016-01-17,66
2016-01-18,100
2016-01-19,86
2016-01-20,82
2016-01-21,92
2016-01-22,84
2016-01-23,71
2016-01-24,74
2016-01-25,75
2016-01-26,80
2016-01-27,85
2016-01-28,86
2016-01-29,78
2016-01-30,73
2016-01-31,71
2016-02-01,80
2016-02-02,90
2016-02-03,83
2016-02-04,80
2016-02-05,82
2016-02-06,68
2016-02-07,64
2016-02-08,75
2016-02-09,75
2016-02-10,80
2016-02-11,87
2016-02-12,78
2016-02-13,67
2016-02-14,69
2016-02-15,74
2016-02-16,80
2016-02-17,81
2016-02-18,82
2016-02-19,81
2016-02-20,76
2016-02-21,100
2016-02-22,95
2016-02-23,77
2016-02-24,86
2016-02-25,84
2016-02-26,80
2016-02-27,70
2016-02-28,62
2016-02-29,79
2016-03-01,82
2016-03-02,75
2016-03-03,76
2016-03-04,75
2016-03-05,61
2016-03-06,78
2016-03-07,100
2016-03-08,80
2016-03-09,74
2016-03-10,70
2016-03-11,71
2016-03-12,60
2016-03-13,52
2016-03-14,68
2016-03-15,70
2016-03-16,77
2016-03-17,73
2016-03-18,66
2016-03-19,60
2016-03-20,64
2016-03-21,70
2016-03-22,59
2016-03-23,65
2016-03-24,61
2016-03-25,63
2016-03-26,58
2016-03-27,60
2016-03-28,66
2016-03-29,62
2016-03-30,68
2016-03-31,71
2016-04-01,72
2016-04-02,59
2016-04-03,59
2016-04-04,70
2016-04-05,79
2016-04-06,78
2016-04-07,84
2016-04-08,83
2016-04-09,80
2016-04-10,74
2016-04-11,85
2016-04-12,94
2016-04-13,100
2016-04-14,83
2016-04-15,77
2016-04-16,62
2016-04-17,68
2016-04-18,88
2016-04-19,84
2016-04-20,85
2016-04-21,89
2016-04-22,86
2016-04-23,68
2016-04-24,69
2016-04-25,87
2016-04-26,91
2016-04-27,88
2016-04-28,85
2016-04-29,84
2016-04-30,69
2016-05-01,69
2016-05-02,75
2016-05-03,92
2016-05-04,76
2016-05-05,89
2016-05-06,80
2016-05-07,71
2016-05-08,74
2016-05-09,79
2016-05-10,80
2016-05-11,88
2016-05-12,87
2016-05-13,78
2016-05-14,72
2016-05-15,74
2016-05-16,83
2016-05-17,69
2016-05-18,100
2016-05-19,81
2016-05-20,78
2016-05-21,62
2016-05-22,64
2016-05-23,85
2016-05-24,84
2016-05-25,79
2016-05-26,80
2016-05-27,82
2016-05-28,63
2016-05-29,70
2016-05-30,69
2016-05-31,86
2016-06-01,83
2016-06-02,72
2016-06-03,76
2016-06-04,62
2016-06-05,77
2016-06-06,89
2016-06-07,94
2016-06-08,100
2016-06-09,90
2016-06-10,89
2016-06-11,78
2016-06-12,72
2016-06-13,93
2016-06-14,91
2016-06-15,96
2016-06-16,96
2016-06-17,83
2016-06-18,89
2016-06-19,79
2016-06-20,94
2016-06-21,97
2016-06-22,92
2016-06-23,88
2016-06-24,86
2016-06-25,67
2016-06-26,78
2016-06-27,98
2016-06-28,98
2016-06-29,96
2016-06-30,90
2016-07-01,88
2016-07-02,71
2016-07-03,64
2016-07-04,87
2016-07-05,84
2016-07-06,68
2016-07-07,83
2016-07-08,86
2016-07-09,65
2016-07-10,76
2016-07-11,73
2016-07-12,81
2016-07-13,73
2016-07-14,75
2016-07-15,73
2016-07-16,58
2016-07-17,62
2016-07-18,100
2016-07-19,91
2016-07-20,93
2016-07-21,91
2016-07-22,83
2016-07-23,84
2016-07-24,81
2016-07-25,88
2016-07-26,79
