Date,Open,Close,High,Low,Volume,Percentage Change,Classification
318,2.4e-06,2.51e-06,2.94e-06,2.37e-06,96.10995255,0.023346303030848503,1
321,2.51e-06,3.16e-06,3.37e-06,2.44e-06,275.86073523,0.13661202788352966,1
324,3.17e-06,3.41e-06,5.35e-06,2.95e-06,1253.54382773,0.1071428582072258,0
327,3.41e-06,2.85e-06,3.46e-06,2.79e-06,160.59907351000004,0.0,1
330,2.87e-06,2.84e-06,3.05e-06,2.51e-06,188.96643358,0.04411764815449715,0
333,2.84e-06,2.74e-06,2.87e-06,2.62e-06,67.92803143,0.014814814552664757,0
336,2.75e-06,2.79e-06,2.87e-06,2.5300000000000003e-06,86.51005154,0.07615894079208374,1
339,2.79e-06,2.96e-06,3.48e-06,2.77e-06,369.65479867000005,0.013333333656191826,1
342,2.9699999999999987e-06,2.84e-06,3.05e-06,2.76e-06,80.85902584,0.020689655095338818,1
345,2.83e-06,2.8e-06,3e-06,2.79e-06,71.06754201999999,0.014084506779909134,1
348,2.79e-06,3.07e-06,3.46e-06,2.76e-06,217.04675257,0.08083832263946532,1
351,3.07e-06,3.02e-06,3.63e-06,2.67e-06,524.8684886200001,0.0100334445014596,0
354,3.04e-06,3.06e-06,3.14e-06,2.91e-06,64.57550471,0.013245033100247385,0
357,3.06e-06,3.07e-06,3.17e-06,2.77e-06,108.08154285000002,0.0495356023311615,1
360,3.04e-06,3.24e-06,3.36e-06,2.99e-06,140.15718907,0.041420117020607,1
363,3.24e-06,3.18e-06,3.68e-06,3.12e-06,147.23709086000005,0.0031545741949230433,0
366,3.21e-06,3.19e-06,3.3e-06,2.94e-06,63.50878747,0.0,1
369,3.19e-06,3.500000000000001e-06,3.84e-06,3.08e-06,341.74171032,0.008498583920300007,1
372,3.500000000000001e-06,3.4e-06,3.71e-06,3.35e-06,166.78581519,0.014492753893136978,1
375,3.43e-06,3.33e-06,3.6000000000000007e-06,3.33e-06,56.551312870000004,0.011869436129927635,1
378,3.34e-06,3.29e-06,3.37e-06,3.27e-06,36.0701813,0.012307692319154741,0
381,3.28e-06,3.38e-06,3.75e-06,3.15e-06,47.53452707000001,0.043209876865148544,0
